gid	osm_id	code	fclass	name	coordinates
62453	1628957531	4111	peak	Äußere Grüne Platte - Monte Corno di Fuori	POINT(11.8397111 46.9847608)
62454	1628957539	4111	peak	Äußerer Speikkofel	POINT(11.9237467 47.0142728)
62458	1629561445	4111	peak	Ringelstein	POINT(11.8262411 46.9318298)
62459	1629561450	4111	peak	Speikboden	POINT(11.8902641 46.9181799)
62460	1629561457	4111	peak	Tristenspitz - Cima dei Covoni	POINT(11.8191533 46.9442493)
62461	1629707651	4111	peak	Donnerschlag - Cima dei Tuoni	POINT(11.8953631 46.8718007)
62462	1629708646	4111	peak	Durreck - Cima Dura	POINT(12.0290289 46.9611127)
62463	1629708708	4111	peak	Hirbernock - Cima di Moia	POINT(12.0470063 46.972495)
62464	1629708731	4111	peak	Katzenkofel - Cima del Gatto	POINT(12.0594958 46.9796619)
62465	1630130169	4111	peak	Am Archl - Monte Arca	POINT(12.1050404 47.0551766)
62466	1630130171	4111	peak	Archbichl	POINT(12.1045823 47.0604968)
62467	1630130172	4111	peak	Außerbrunner	POINT(11.9944977 47.0441333)
62468	1630130173	4111	peak	Beim Mannl	POINT(11.9913832 47.0322947)
62469	1630130174	4111	peak	Beim Zatlan	POINT(12.0420321 47.0437537)
62470	1630130175	4111	peak	Beralspitz	POINT(12.0755941 46.9948102)
62471	1630130176	4111	peak	Blauspitz - Cima Pila	POINT(12.0557625 46.9959342)
62472	1630130177	4111	peak	Bockegg	POINT(12.2056882 47.079107)
62473	1630130178	4111	peak	Brandberg	POINT(12.0513856 47.0553865)
62474	1630130180	4111	peak	Däuml	POINT(12.181868 47.0461386)
62475	1630130181	4111	peak	Faden	POINT(12.0657801 47.0382059)
62476	1630130182	4111	peak	Fadenkopf - Cima Faden	POINT(12.0178035 47.033162)
62477	1630130184	4111	peak	Gamsspitz	POINT(12.0993557 47.0687398)
62478	1630130187	4111	peak	Gebauer Ötschen	POINT(12.1382304 47.0339844)
62480	1630130194	4111	peak	Hühnerspiel	POINT(11.9974782 47.0229903)
62481	1630130195	4111	peak	Innerbrunner	POINT(12.0024367 47.0427468)
62482	1630130199	4111	peak	Schowiesenkopf	POINT(11.9812448 47.0152839)
62483	1630130201	4111	peak	Klausnock - Cima Chiusetta	POINT(12.0093638 46.9591349)
62484	1630130202	4111	peak	Kleiner Gamstod	POINT(12.2014304 47.0601654)
62485	1630130203	4111	peak	Kleiner Golter	POINT(11.9942813 47.0392413)
62486	1630130204	4111	peak	Kleiner Reinhard	POINT(12.1184276 46.9958682)
62487	1630130205	4111	peak	Kleiner Ötschen	POINT(12.1409658 47.032522)
62488	1630130206	4111	peak	Knospe	POINT(12.0127839 47.0406824)
